parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"z_innov_s[AL, 2015-10-18 00:00:00]",0.481,0.944,-1.232,2.28,0.01,0.013,9332.0,4454.0,1.0
"z_innov_s[AL, 2015-10-25 00:00:00]",0.522,0.967,-1.21,2.41,0.01,0.014,10296.0,4304.0,1.0
"z_innov_s[AL, 2015-11-01 00:00:00]",0.666,0.977,-1.245,2.422,0.01,0.014,10410.0,4654.0,1.0
"z_innov_s[AL, 2015-11-08 00:00:00]",0.492,0.982,-1.292,2.431,0.009,0.015,11487.0,4066.0,1.0
"z_innov_s[AL, 2015-11-15 00:00:00]",0.494,0.963,-1.3,2.301,0.01,0.014,9896.0,4425.0,1.0
"z_innov_s[AL, 2015-11-22 00:00:00]",0.55,0.969,-1.342,2.343,0.009,0.014,10841.0,4449.0,1.0
"z_innov_s[AL, 2015-11-29 00:00:00]",0.567,0.953,-1.237,2.299,0.009,0.015,11928.0,4234.0,1.0
"z_innov_s[AL, 2015-12-06 00:00:00]",0.474,0.928,-1.17,2.32,0.008,0.013,12394.0,4556.0,1.0
"z_innov_s[AL, 2015-12-13 00:00:00]",0.414,0.958,-1.453,2.137,0.009,0.013,10642.0,4505.0,1.0
"z_innov_s[AL, 2015-12-20 00:00:00]",0.4,0.953,-1.325,2.228,0.009,0.014,11879.0,3959.0,1.0
"z_innov_s[AL, 2015-12-27 00:00:00]",0.414,0.989,-1.353,2.325,0.009,0.015,12037.0,4094.0,1.0
"z_innov_s[AL, 2016-01-03 00:00:00]",0.56,0.954,-1.158,2.411,0.009,0.013,12478.0,4798.0,1.0
"z_innov_s[AL, 2016-01-10 00:00:00]",0.666,0.963,-1.086,2.493,0.009,0.013,11351.0,4979.0,1.0
"z_innov_s[AL, 2016-01-17 00:00:00]",0.729,0.935,-1.078,2.398,0.009,0.014,11851.0,4260.0,1.0
"z_innov_s[AL, 2016-01-24 00:00:00]",0.808,0.96,-0.94,2.633,0.009,0.015,11596.0,4128.0,1.0
"z_innov_s[AL, 2016-01-31 00:00:00]",0.913,0.949,-0.964,2.654,0.009,0.014,11003.0,4088.0,1.0
"z_innov_s[AL, 2016-02-07 00:00:00]",0.874,0.934,-0.755,2.771,0.009,0.014,11891.0,4535.0,1.0
"z_innov_s[AL, 2016-02-14 00:00:00]",0.837,0.915,-0.904,2.495,0.008,0.013,11648.0,4790.0,1.0
"z_innov_s[AL, 2016-02-21 00:00:00]",0.809,0.935,-0.962,2.577,0.009,0.013,10900.0,4225.0,1.0
"z_innov_s[AL, 2016-02-28 00:00:00]",0.75,0.928,-1.026,2.447,0.01,0.013,9300.0,4541.0,1.0
"z_innov_s[AL, 2016-03-06 00:00:00]",0.656,0.931,-1.023,2.456,0.009,0.013,10236.0,4453.0,1.0
"z_innov_s[AL, 2016-03-13 00:00:00]",0.628,0.942,-1.176,2.373,0.01,0.012,9635.0,4730.0,1.0
"z_innov_s[AL, 2016-03-20 00:00:00]",0.69,0.944,-1.035,2.474,0.009,0.013,10454.0,4578.0,1.0
"z_innov_s[AL, 2016-03-27 00:00:00]",0.722,0.956,-1.066,2.517,0.009,0.013,10501.0,4192.0,1.0
