parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"z_innov_s[SC, 2016-06-12 00:00:00]",0.132,0.95,-1.692,1.894,0.009,0.014,10012.0,4568.0,1.0
"z_innov_s[SC, 2016-06-19 00:00:00]",0.255,0.922,-1.497,1.954,0.009,0.012,10566.0,5121.0,1.0
"z_innov_s[SC, 2016-06-26 00:00:00]",0.194,0.934,-1.542,1.91,0.008,0.013,12459.0,4334.0,1.0
"z_innov_s[SC, 2016-07-03 00:00:00]",0.345,0.951,-1.41,2.185,0.008,0.014,13517.0,4823.0,1.0
"z_innov_s[SC, 2016-07-10 00:00:00]",0.255,0.916,-1.447,2.006,0.009,0.012,11314.0,4900.0,1.0
"z_innov_s[SC, 2016-07-17 00:00:00]",0.218,0.933,-1.504,2.015,0.009,0.013,11273.0,4757.0,1.0
"z_innov_s[SC, 2016-07-24 00:00:00]",0.281,0.943,-1.54,2.009,0.009,0.013,11498.0,4599.0,1.0
"z_innov_s[SC, 2016-07-31 00:00:00]",0.213,0.932,-1.476,2.006,0.008,0.013,12216.0,4548.0,1.0
"z_innov_s[SC, 2016-08-07 00:00:00]",-0.021,0.945,-1.727,1.859,0.009,0.013,12220.0,4719.0,1.0
"z_innov_s[SC, 2016-08-14 00:00:00]",-0.002,0.949,-1.717,1.842,0.009,0.014,11085.0,4388.0,1.0
"z_innov_s[SC, 2016-08-21 00:00:00]",0.097,0.942,-1.646,1.86,0.009,0.014,10934.0,4444.0,1.0
"z_innov_s[SC, 2016-08-28 00:00:00]",0.101,0.939,-1.664,1.88,0.009,0.014,11891.0,4222.0,1.0
"z_innov_s[SC, 2016-09-04 00:00:00]",0.045,0.957,-1.797,1.782,0.009,0.014,10418.0,4539.0,1.0
"z_innov_s[SC, 2016-09-11 00:00:00]",0.176,0.961,-1.609,2.041,0.01,0.015,10253.0,3825.0,1.0
"z_innov_s[SC, 2016-09-18 00:00:00]",-0.158,0.944,-1.925,1.601,0.009,0.015,10863.0,3554.0,1.0
"z_innov_s[SC, 2016-09-25 00:00:00]",0.038,0.941,-1.834,1.732,0.009,0.013,10851.0,4223.0,1.0
"z_innov_s[SC, 2016-10-02 00:00:00]",-0.084,0.944,-1.822,1.663,0.009,0.013,9977.0,4625.0,1.0
"z_innov_s[SC, 2016-10-09 00:00:00]",0.081,0.922,-1.6,1.801,0.009,0.013,10654.0,4253.0,1.0
"z_innov_s[SC, 2016-10-16 00:00:00]",0.161,0.937,-1.595,1.93,0.009,0.013,11498.0,4839.0,1.0
"z_innov_s[SC, 2016-10-23 00:00:00]",0.13,0.964,-1.615,1.981,0.009,0.014,11382.0,4393.0,1.0
"z_innov_s[SC, 2016-10-30 00:00:00]",0.35,0.94,-1.512,2.057,0.009,0.013,10314.0,4537.0,1.0
"z_innov_s[SC, 2016-11-06 00:00:00]",0.357,0.954,-1.408,2.183,0.009,0.013,11078.0,4437.0,1.0
"z_innov_s[SC, 2016-11-13 00:00:00]",0.361,0.957,-1.443,2.16,0.009,0.014,12593.0,4139.0,1.0
"z_innov_s[SC, 2016-11-20 00:00:00]",0.451,0.929,-1.281,2.223,0.009,0.014,11732.0,4187.0,1.0
"z_innov_s[SC, 2016-11-27 00:00:00]",0.114,0.933,-1.579,1.939,0.009,0.013,10272.0,4504.0,1.0
"z_innov_s[SC, 2016-12-04 00:00:00]",0.196,0.933,-1.636,1.863,0.009,0.013,10903.0,4158.0,1.0
"z_innov_s[SC, 2016-12-11 00:00:00]",0.095,0.918,-1.722,1.735,0.009,0.013,11151.0,3859.0,1.0
"z_innov_s[SC, 2016-12-18 00:00:00]",0.152,0.901,-1.564,1.807,0.009,0.013,10121.0,4415.0,1.0
"z_innov_s[SC, 2016-12-25 00:00:00]",-0.016,0.9,-1.65,1.678,0.009,0.013,11122.0,4639.0,1.0
"z_innov_s[SC, 2017-01-01 00:00:00]",-0.12,0.917,-1.82,1.612,0.009,0.013,10018.0,4293.0,1.0
"z_innov_s[SC, 2017-01-08 00:00:00]",-0.281,0.922,-1.926,1.552,0.009,0.015,10519.0,4010.0,1.0
"z_innov_s[SC, 2017-01-15 00:00:00]",-0.439,0.946,-2.238,1.275,0.009,0.014,10188.0,4480.0,1.0
"z_innov_s[SC, 2017-01-22 00:00:00]",-0.431,0.952,-2.185,1.406,0.009,0.015,12172.0,4063.0,1.0
"z_innov_s[SC, 2017-01-29 00:00:00]",-0.27,0.926,-2.05,1.437,0.009,0.013,10864.0,4127.0,1.0
"z_innov_s[SC, 2017-02-05 00:00:00]",-0.421,0.953,-2.225,1.373,0.009,0.014,11554.0,4362.0,1.0
"z_innov_s[SC, 2017-02-12 00:00:00]",-0.299,0.94,-2.063,1.449,0.009,0.015,11070.0,4308.0,1.0
"z_innov_s[SC, 2017-02-19 00:00:00]",-0.396,0.93,-2.142,1.358,0.009,0.014,10521.0,4651.0,1.0
"z_innov_s[SC, 2017-02-26 00:00:00]",-0.237,0.941,-1.924,1.614,0.01,0.014,9136.0,3560.0,1.0
"z_innov_s[SC, 2017-03-05 00:00:00]",-0.325,0.955,-2.042,1.493,0.009,0.014,10724.0,4476.0,1.0
"z_innov_s[SC, 2017-03-12 00:00:00]",-0.147,0.938,-1.937,1.591,0.009,0.015,12095.0,4334.0,1.0
"z_innov_s[SC, 2017-03-19 00:00:00]",-0.25,0.968,-1.993,1.642,0.009,0.014,10989.0,4004.0,1.0
"z_innov_s[SC, 2017-03-26 00:00:00]",-0.025,0.963,-1.813,1.773,0.009,0.013,10699.0,4629.0,1.0
"z_innov_s[SC, 2017-04-02 00:00:00]",0.183,0.955,-1.619,2.022,0.009,0.013,10766.0,4436.0,1.0
"z_innov_s[SC, 2017-04-09 00:00:00]",0.154,0.949,-1.646,1.931,0.009,0.014,11744.0,4008.0,1.0
"z_innov_s[SC, 2017-04-16 00:00:00]",0.063,0.925,-1.674,1.778,0.009,0.013,10772.0,4329.0,1.0
"z_innov_s[SC, 2017-04-23 00:00:00]",0.234,0.932,-1.452,2.005,0.009,0.013,11776.0,4099.0,1.0
"z_innov_s[SC, 2017-04-30 00:00:00]",0.269,0.917,-1.449,1.953,0.008,0.012,11902.0,4813.0,1.0
"z_innov_s[SC, 2017-05-07 00:00:00]",0.258,0.918,-1.42,1.957,0.009,0.013,11506.0,4680.0,1.0
"z_innov_s[SC, 2017-05-14 00:00:00]",-0.145,0.92,-1.951,1.54,0.009,0.013,10965.0,4920.0,1.0
"z_innov_s[SC, 2017-05-21 00:00:00]",-0.149,0.948,-1.85,1.713,0.009,0.013,11215.0,4735.0,1.0
"z_innov_s[SC, 2017-05-28 00:00:00]",-0.015,0.941,-1.788,1.721,0.009,0.014,10532.0,4256.0,1.0
"z_innov_s[SC, 2017-06-04 00:00:00]",-0.013,0.949,-1.803,1.736,0.009,0.015,12014.0,4167.0,1.0
"z_innov_s[SC, 2017-06-11 00:00:00]",-0.008,0.932,-1.712,1.768,0.009,0.014,10873.0,4247.0,1.0
"z_innov_s[SC, 2017-06-18 00:00:00]",0.117,0.93,-1.654,1.844,0.009,0.012,10267.0,4912.0,1.0
"z_innov_s[SC, 2017-06-25 00:00:00]",0.067,0.959,-1.775,1.802,0.01,0.015,10143.0,3868.0,1.0
"z_innov_s[SC, 2017-07-02 00:00:00]",0.179,0.948,-1.634,1.883,0.009,0.014,11801.0,4234.0,1.0
"z_innov_s[SC, 2017-07-09 00:00:00]",0.164,0.947,-1.641,1.89,0.009,0.016,11322.0,4052.0,1.0
"z_innov_s[SC, 2017-07-16 00:00:00]",0.115,0.938,-1.604,1.912,0.009,0.014,11743.0,4397.0,1.0
"z_innov_s[SC, 2017-07-23 00:00:00]",0.033,0.94,-1.711,1.81,0.009,0.014,12158.0,4185.0,1.0
"z_innov_s[SC, 2017-07-30 00:00:00]",0.014,0.941,-1.77,1.746,0.009,0.013,10535.0,4433.0,1.0
"z_innov_s[SC, 2017-08-06 00:00:00]",0.13,0.95,-1.621,1.9,0.009,0.015,10863.0,4025.0,1.0
"z_innov_s[SC, 2017-08-13 00:00:00]",0.08,0.944,-1.718,1.788,0.01,0.013,8760.0,3985.0,1.0
"z_innov_s[SC, 2017-08-20 00:00:00]",0.128,0.955,-1.692,1.874,0.009,0.016,11251.0,3845.0,1.0
"z_innov_s[SC, 2017-08-27 00:00:00]",0.175,0.956,-1.558,2.012,0.009,0.014,11085.0,4455.0,1.0
"z_innov_s[SC, 2017-09-03 00:00:00]",0.388,0.963,-1.389,2.167,0.01,0.014,10281.0,4424.0,1.0
"z_innov_s[SC, 2017-09-10 00:00:00]",0.435,0.938,-1.279,2.227,0.008,0.013,12622.0,4586.0,1.0
"z_innov_s[SC, 2017-09-17 00:00:00]",0.341,0.923,-1.324,2.109,0.009,0.013,10893.0,4331.0,1.0
"z_innov_s[SC, 2017-09-24 00:00:00]",0.352,0.933,-1.329,2.194,0.009,0.014,10094.0,4310.0,1.0
"z_innov_s[SC, 2017-10-01 00:00:00]",0.468,0.949,-1.253,2.328,0.009,0.013,11112.0,4793.0,1.0
"z_innov_s[SC, 2017-10-08 00:00:00]",0.273,0.951,-1.482,2.035,0.009,0.014,11895.0,4204.0,1.0
"z_innov_s[SC, 2017-10-15 00:00:00]",0.172,0.935,-1.559,1.923,0.01,0.013,8587.0,4453.0,1.0
"z_innov_s[SC, 2017-10-22 00:00:00]",0.144,0.943,-1.554,1.986,0.009,0.016,11759.0,3594.0,1.0
"z_innov_s[SC, 2017-10-29 00:00:00]",0.264,0.933,-1.466,2.023,0.009,0.013,11433.0,4710.0,1.0
"z_innov_s[SC, 2017-11-05 00:00:00]",0.313,0.908,-1.444,1.964,0.009,0.012,10390.0,4458.0,1.0
"z_innov_s[SC, 2017-11-12 00:00:00]",0.368,0.922,-1.295,2.148,0.008,0.014,11814.0,4581.0,1.0
"z_innov_s[SC, 2017-11-19 00:00:00]",0.186,0.935,-1.558,1.964,0.009,0.013,11399.0,4456.0,1.0
"z_innov_s[SC, 2017-11-26 00:00:00]",0.021,0.924,-1.791,1.713,0.009,0.013,10678.0,4141.0,1.0
"z_innov_s[SC, 2017-12-03 00:00:00]",-0.061,0.931,-1.764,1.69,0.01,0.012,9297.0,4470.0,1.0
"z_innov_s[SC, 2017-12-10 00:00:00]",0.111,0.913,-1.676,1.722,0.009,0.013,10660.0,4503.0,1.0
"z_innov_s[SC, 2017-12-17 00:00:00]",0.064,0.951,-1.694,1.877,0.009,0.013,10493.0,4055.0,1.0
"z_innov_s[SC, 2017-12-24 00:00:00]",0.065,0.929,-1.634,1.825,0.009,0.013,10295.0,4592.0,1.0
"z_innov_s[SC, 2017-12-31 00:00:00]",0.135,0.941,-1.562,1.964,0.009,0.014,10925.0,4442.0,1.0
"z_innov_s[SC, 2018-01-07 00:00:00]",0.055,0.934,-1.648,1.85,0.009,0.013,11628.0,4553.0,1.0
"z_innov_s[SC, 2018-01-14 00:00:00]",-0.023,0.917,-1.639,1.76,0.009,0.013,10516.0,4399.0,1.0
"z_innov_s[SC, 2018-01-21 00:00:00]",0.02,0.929,-1.699,1.782,0.009,0.013,9685.0,4323.0,1.0
"z_innov_s[SC, 2018-01-28 00:00:00]",-0.221,0.932,-1.983,1.546,0.008,0.014,13188.0,4472.0,1.0
"z_innov_s[SC, 2018-02-04 00:00:00]",-0.194,0.932,-2.025,1.443,0.008,0.012,12603.0,4766.0,1.0
"z_innov_s[SC, 2018-02-11 00:00:00]",-0.243,0.955,-2.038,1.594,0.009,0.014,12007.0,3716.0,1.0
"z_innov_s[SC, 2018-02-18 00:00:00]",-0.244,0.931,-2.011,1.429,0.009,0.015,10603.0,4207.0,1.0
"z_innov_s[SC, 2018-02-25 00:00:00]",-0.222,0.937,-1.883,1.653,0.009,0.014,11927.0,4605.0,1.0
"z_innov_s[SC, 2018-03-04 00:00:00]",-0.242,0.919,-1.989,1.447,0.009,0.013,11396.0,4316.0,1.0
"z_innov_s[SC, 2018-03-11 00:00:00]",-0.247,0.936,-2.036,1.502,0.009,0.014,10922.0,4352.0,1.0
"z_innov_s[SC, 2018-03-18 00:00:00]",-0.143,0.913,-1.773,1.638,0.009,0.013,9660.0,4319.0,1.0
"z_innov_s[SC, 2018-03-25 00:00:00]",-0.206,0.937,-2.003,1.519,0.008,0.015,12349.0,4091.0,1.0
"z_innov_s[SC, 2018-04-01 00:00:00]",-0.147,0.963,-1.885,1.714,0.009,0.014,12167.0,3966.0,1.0
"z_innov_s[SC, 2018-04-08 00:00:00]",-0.078,0.944,-1.897,1.594,0.009,0.014,11296.0,4711.0,1.0
"z_innov_s[SC, 2018-04-15 00:00:00]",0.176,0.954,-1.694,1.896,0.009,0.013,10899.0,4432.0,1.0
"z_innov_s[SC, 2018-04-22 00:00:00]",0.16,0.951,-1.704,1.889,0.009,0.014,10500.0,4137.0,1.0
"z_innov_s[SC, 2018-04-29 00:00:00]",0.206,0.953,-1.502,2.036,0.01,0.015,9641.0,4042.0,1.0
"z_innov_s[SC, 2018-05-06 00:00:00]",0.207,0.914,-1.569,1.845,0.009,0.013,9813.0,4554.0,1.0
"z_innov_s[SC, 2018-05-13 00:00:00]",0.216,0.947,-1.602,1.961,0.009,0.014,10437.0,4389.0,1.0
"z_innov_s[SC, 2018-05-20 00:00:00]",-0.094,0.941,-1.891,1.673,0.009,0.013,10881.0,4294.0,1.0
"z_innov_s[SC, 2018-05-27 00:00:00]",-0.014,0.943,-1.671,1.809,0.01,0.013,9605.0,4579.0,1.0
"z_innov_s[SC, 2018-06-03 00:00:00]",0.115,0.926,-1.629,1.82,0.009,0.013,11097.0,4305.0,1.0
"z_innov_s[SC, 2018-06-10 00:00:00]",-0.166,0.938,-1.779,1.743,0.009,0.013,9826.0,4244.0,1.0
"z_innov_s[SC, 2018-06-17 00:00:00]",-0.372,0.928,-2.12,1.314,0.009,0.012,10899.0,4748.0,1.0
"z_innov_s[SC, 2018-06-24 00:00:00]",-0.322,0.928,-2.08,1.385,0.008,0.014,12608.0,4864.0,1.0
"z_innov_s[SC, 2018-07-01 00:00:00]",-0.34,0.964,-2.187,1.499,0.009,0.014,10966.0,4445.0,1.0
"z_innov_s[SC, 2018-07-08 00:00:00]",-0.228,0.94,-2.036,1.472,0.009,0.013,10192.0,4443.0,1.0
"z_innov_s[SC, 2018-07-15 00:00:00]",-0.268,0.928,-1.972,1.488,0.009,0.013,10534.0,4617.0,1.0
"z_innov_s[SC, 2018-07-22 00:00:00]",-0.216,0.953,-2.088,1.497,0.01,0.013,8435.0,4984.0,1.0
"z_innov_s[SC, 2018-07-29 00:00:00]",-0.001,0.958,-1.824,1.721,0.009,0.014,11118.0,4516.0,1.0
"z_innov_s[SC, 2018-08-05 00:00:00]",0.03,0.95,-1.706,1.828,0.009,0.013,10368.0,4201.0,1.0
"z_innov_s[SC, 2018-08-12 00:00:00]",0.078,0.959,-1.654,1.951,0.01,0.014,9842.0,3912.0,1.0
"z_innov_s[SC, 2018-08-19 00:00:00]",0.059,0.95,-1.704,1.874,0.01,0.013,9619.0,4125.0,1.0
"z_innov_s[SC, 2018-08-26 00:00:00]",0.077,0.957,-1.725,1.83,0.009,0.013,11326.0,4413.0,1.0
"z_innov_s[SC, 2018-09-02 00:00:00]",0.114,0.943,-1.706,1.846,0.009,0.013,10667.0,4405.0,1.0
"z_innov_s[SC, 2018-09-09 00:00:00]",0.123,0.967,-1.614,1.924,0.01,0.014,9726.0,4422.0,1.0
"z_innov_s[SC, 2018-09-16 00:00:00]",0.139,0.933,-1.755,1.757,0.009,0.014,10850.0,4445.0,1.0
"z_innov_s[SC, 2018-09-23 00:00:00]",0.144,0.939,-1.644,1.91,0.009,0.013,9887.0,4580.0,1.0
"z_innov_s[SC, 2018-09-30 00:00:00]",0.188,0.941,-1.589,1.951,0.009,0.014,11931.0,4346.0,1.0
"z_innov_s[SC, 2018-10-07 00:00:00]",0.252,0.948,-1.586,2.009,0.009,0.013,10653.0,4387.0,1.0
"z_innov_s[SC, 2018-10-14 00:00:00]",0.382,0.941,-1.329,2.211,0.009,0.013,10304.0,4571.0,1.0
"z_innov_s[SC, 2018-10-21 00:00:00]",0.574,0.941,-1.12,2.336,0.008,0.012,12552.0,4600.0,1.0
"z_innov_s[SC, 2018-10-28 00:00:00]",0.112,0.935,-1.647,1.886,0.009,0.014,11525.0,4382.0,1.0
"z_innov_s[SC, 2018-11-04 00:00:00]",0.189,0.95,-1.627,1.942,0.009,0.014,11723.0,4578.0,1.0
"z_innov_s[SC, 2018-11-11 00:00:00]",0.133,0.955,-1.61,1.938,0.01,0.013,9141.0,4737.0,1.0
"z_innov_s[SC, 2018-11-18 00:00:00]",0.21,0.968,-1.629,2.015,0.009,0.014,10637.0,4605.0,1.0
"z_innov_s[SC, 2018-11-25 00:00:00]",0.084,0.914,-1.628,1.804,0.009,0.013,10182.0,4545.0,1.0
"z_innov_s[SC, 2018-12-02 00:00:00]",0.184,0.951,-1.615,1.958,0.01,0.014,9523.0,4269.0,1.0
"z_innov_s[SC, 2018-12-09 00:00:00]",0.4,0.935,-1.425,2.082,0.009,0.013,11408.0,4338.0,1.0
"z_innov_s[SC, 2018-12-16 00:00:00]",0.308,0.944,-1.475,2.1,0.009,0.014,10968.0,4567.0,1.0
"z_innov_s[SC, 2018-12-23 00:00:00]",0.273,0.947,-1.495,2.026,0.009,0.015,11727.0,4144.0,1.0
"z_innov_s[SC, 2018-12-30 00:00:00]",0.508,0.937,-1.29,2.292,0.01,0.013,9634.0,4619.0,1.0
"z_innov_s[SC, 2019-01-06 00:00:00]",0.607,0.931,-1.179,2.353,0.01,0.013,8949.0,4059.0,1.0
"z_innov_s[SC, 2019-01-13 00:00:00]",0.62,0.951,-1.158,2.408,0.009,0.013,11535.0,4424.0,1.0
"z_innov_s[SC, 2019-01-20 00:00:00]",0.359,0.913,-1.394,2.03,0.009,0.012,10347.0,4602.0,1.0
"z_innov_s[SC, 2019-01-27 00:00:00]",0.318,0.927,-1.421,2.084,0.009,0.014,9762.0,3874.0,1.0
"z_innov_s[SC, 2019-02-03 00:00:00]",0.025,0.921,-1.73,1.75,0.009,0.013,10188.0,4103.0,1.0
"z_innov_s[SC, 2019-02-10 00:00:00]",-0.008,0.93,-1.738,1.725,0.009,0.013,10498.0,3991.0,1.0
"z_innov_s[SC, 2019-02-17 00:00:00]",-0.014,0.928,-1.757,1.676,0.009,0.013,10263.0,4698.0,1.0
"z_innov_s[SC, 2019-02-24 00:00:00]",0.136,0.932,-1.467,2.002,0.008,0.014,12058.0,4405.0,1.0
"z_innov_s[SC, 2019-03-03 00:00:00]",0.137,0.926,-1.594,1.884,0.009,0.013,10342.0,4281.0,1.0
"z_innov_s[SC, 2019-03-10 00:00:00]",0.186,0.926,-1.604,1.836,0.01,0.012,9289.0,4700.0,1.0
"z_innov_s[SC, 2019-03-17 00:00:00]",0.219,0.932,-1.527,1.949,0.009,0.014,10005.0,4018.0,1.0
"z_innov_s[SC, 2019-03-24 00:00:00]",0.333,0.931,-1.343,2.171,0.009,0.014,10603.0,3854.0,1.0
"z_innov_s[SC, 2019-03-31 00:00:00]",0.418,0.93,-1.237,2.258,0.009,0.013,11127.0,4893.0,1.0
"z_innov_s[SC, 2019-04-07 00:00:00]",0.403,0.923,-1.261,2.163,0.01,0.013,9472.0,4418.0,1.0
"z_innov_s[SC, 2019-04-14 00:00:00]",0.388,0.931,-1.289,2.134,0.009,0.014,11337.0,4113.0,1.0
"z_innov_s[SC, 2019-04-21 00:00:00]",0.17,0.904,-1.599,1.78,0.009,0.013,11108.0,4256.0,1.0
"z_innov_s[SC, 2019-04-28 00:00:00]",0.166,0.922,-1.562,1.885,0.009,0.012,10472.0,4654.0,1.0
"z_innov_s[SC, 2019-05-05 00:00:00]",0.102,0.892,-1.607,1.759,0.009,0.012,10532.0,4642.0,1.0
"z_innov_s[SC, 2019-05-12 00:00:00]",-0.022,0.901,-1.655,1.71,0.008,0.013,11511.0,4955.0,1.0
"z_innov_s[SC, 2019-05-19 00:00:00]",-0.18,0.908,-1.918,1.462,0.009,0.012,10810.0,4652.0,1.0
"z_innov_s[SC, 2019-05-26 00:00:00]",-0.167,0.935,-1.978,1.554,0.009,0.013,11109.0,4698.0,1.0
"z_innov_s[SC, 2019-06-02 00:00:00]",-0.23,0.931,-1.972,1.52,0.009,0.013,10703.0,4754.0,1.0
"z_innov_s[SC, 2019-06-09 00:00:00]",-0.29,0.926,-2.01,1.446,0.009,0.014,11722.0,4232.0,1.0
"z_innov_s[SC, 2019-06-16 00:00:00]",-0.516,0.93,-2.227,1.203,0.009,0.014,9920.0,4281.0,1.0
"z_innov_s[SC, 2019-06-23 00:00:00]",-0.343,0.948,-2.088,1.538,0.009,0.014,11988.0,4796.0,1.0
"z_innov_s[SC, 2019-06-30 00:00:00]",-0.222,0.939,-1.991,1.554,0.009,0.013,9768.0,4327.0,1.0
"z_innov_s[SC, 2019-07-07 00:00:00]",-0.053,0.941,-1.757,1.762,0.009,0.012,11051.0,4801.0,1.0
"z_innov_s[SC, 2019-07-14 00:00:00]",-0.177,0.924,-1.985,1.452,0.009,0.013,10686.0,4410.0,1.0
"z_innov_s[SC, 2019-07-21 00:00:00]",0.027,0.938,-1.845,1.664,0.009,0.015,10634.0,4165.0,1.0
"z_innov_s[SC, 2019-07-28 00:00:00]",0.015,0.931,-1.692,1.813,0.009,0.014,10780.0,4404.0,1.0
"z_innov_s[SC, 2019-08-04 00:00:00]",0.07,0.952,-1.711,1.877,0.009,0.013,10695.0,4389.0,1.0
"z_innov_s[SC, 2019-08-11 00:00:00]",0.104,0.941,-1.67,1.85,0.009,0.014,10519.0,4319.0,1.0
"z_innov_s[SC, 2019-08-18 00:00:00]",0.087,0.922,-1.667,1.838,0.009,0.013,10508.0,4629.0,1.0
"z_innov_s[SC, 2019-08-25 00:00:00]",0.062,0.931,-1.585,1.936,0.009,0.014,11300.0,4435.0,1.0
"z_innov_s[SC, 2019-09-01 00:00:00]",-0.108,0.954,-1.893,1.716,0.009,0.015,10904.0,3863.0,1.0
"z_innov_s[SC, 2019-09-08 00:00:00]",0.163,0.923,-1.537,1.902,0.008,0.013,12542.0,4314.0,1.0
"z_innov_s[SC, 2019-09-15 00:00:00]",0.22,0.916,-1.462,1.976,0.009,0.013,10695.0,4245.0,1.0
"z_innov_s[SC, 2019-09-22 00:00:00]",0.217,0.922,-1.51,1.967,0.009,0.013,10414.0,4709.0,1.0
"z_innov_s[SC, 2019-09-29 00:00:00]",0.116,0.938,-1.681,1.825,0.009,0.013,11543.0,4079.0,1.0
"z_innov_s[SC, 2019-10-06 00:00:00]",0.018,0.932,-1.691,1.823,0.009,0.014,11758.0,4680.0,1.0
"z_innov_s[SC, 2019-10-13 00:00:00]",0.043,0.946,-1.754,1.78,0.009,0.014,11848.0,3992.0,1.0
"z_innov_s[SC, 2019-10-20 00:00:00]",0.048,0.928,-1.562,1.89,0.009,0.013,10923.0,4666.0,1.0
"z_innov_s[SC, 2019-10-27 00:00:00]",0.129,0.95,-1.713,1.833,0.009,0.015,11221.0,4087.0,1.0
"z_innov_s[SC, 2019-11-03 00:00:00]",0.052,0.937,-1.63,1.89,0.009,0.013,11413.0,4461.0,1.0
"z_innov_s[SC, 2019-11-10 00:00:00]",0.168,0.937,-1.499,2.029,0.008,0.014,12312.0,4288.0,1.0
"z_innov_s[SC, 2019-11-17 00:00:00]",0.006,0.934,-1.714,1.776,0.009,0.012,11816.0,4557.0,1.0
"z_innov_s[SC, 2019-11-24 00:00:00]",-0.03,0.952,-1.794,1.754,0.009,0.014,10710.0,4334.0,1.0
"z_innov_s[SC, 2019-12-01 00:00:00]",-0.011,0.917,-1.724,1.691,0.009,0.012,11050.0,4569.0,1.0
"z_innov_s[SC, 2019-12-08 00:00:00]",-0.059,0.919,-1.88,1.591,0.009,0.012,10155.0,4567.0,1.0
"z_innov_s[SC, 2019-12-15 00:00:00]",-0.118,0.909,-1.762,1.613,0.009,0.013,11062.0,4489.0,1.0
"z_innov_s[SC, 2019-12-22 00:00:00]",-0.226,0.94,-2.039,1.464,0.009,0.013,10567.0,4284.0,1.0
"z_innov_s[SC, 2019-12-29 00:00:00]",0.034,0.931,-1.899,1.617,0.009,0.013,10744.0,4341.0,1.0
"z_innov_s[SC, 2020-01-05 00:00:00]",0.198,0.937,-1.514,1.967,0.009,0.014,10705.0,4155.0,1.0
"z_innov_s[SC, 2020-01-12 00:00:00]",0.275,0.948,-1.568,2.009,0.009,0.014,11198.0,3821.0,1.0
"z_innov_s[SC, 2020-01-19 00:00:00]",0.345,0.946,-1.401,2.123,0.009,0.014,11402.0,4631.0,1.0
"z_innov_s[SC, 2020-01-26 00:00:00]",0.241,0.919,-1.492,1.961,0.009,0.013,10893.0,4276.0,1.0
"z_innov_s[SC, 2020-02-02 00:00:00]",0.149,0.92,-1.589,1.882,0.009,0.013,10340.0,4739.0,1.0
"z_innov_s[SC, 2020-02-09 00:00:00]",0.091,0.931,-1.619,1.886,0.01,0.013,9445.0,4408.0,1.0
"z_innov_s[SC, 2020-02-16 00:00:00]",0.333,0.913,-1.37,2.064,0.009,0.012,10986.0,4548.0,1.0
"z_innov_s[SC, 2020-02-23 00:00:00]",0.194,0.922,-1.511,1.924,0.009,0.013,10496.0,4414.0,1.0
"z_innov_s[SC, 2020-03-01 00:00:00]",0.121,0.946,-1.541,2.011,0.009,0.013,11610.0,4539.0,1.0
"z_innov_s[SC, 2020-03-08 00:00:00]",0.165,0.941,-1.589,1.896,0.009,0.014,11193.0,4433.0,1.0
"z_innov_s[SC, 2020-03-15 00:00:00]",0.145,0.93,-1.653,1.807,0.009,0.014,11176.0,4295.0,1.0
"z_innov_s[SC, 2020-03-22 00:00:00]",0.245,0.928,-1.491,1.985,0.009,0.014,10088.0,4495.0,1.0
"z_innov_s[SC, 2020-03-29 00:00:00]",0.223,0.917,-1.447,1.982,0.009,0.013,10433.0,4737.0,1.0
"z_innov_s[SC, 2020-04-05 00:00:00]",0.236,0.926,-1.469,1.979,0.009,0.013,10197.0,4189.0,1.0
"z_innov_s[SC, 2020-04-12 00:00:00]",0.278,0.945,-1.455,2.071,0.009,0.013,11502.0,4827.0,1.0
"z_innov_s[SC, 2020-04-19 00:00:00]",0.094,0.943,-1.642,1.889,0.01,0.013,9572.0,4621.0,1.0
"z_innov_s[SC, 2020-04-26 00:00:00]",0.02,0.941,-1.704,1.804,0.009,0.013,11811.0,4636.0,1.0
"z_innov_s[SC, 2020-05-03 00:00:00]",0.083,0.94,-1.752,1.803,0.008,0.014,12303.0,4267.0,1.0
"z_innov_s[SC, 2020-05-10 00:00:00]",0.252,0.923,-1.427,1.987,0.009,0.013,9890.0,4480.0,1.0
"z_innov_s[SC, 2020-05-17 00:00:00]",0.251,0.938,-1.444,2.031,0.009,0.013,10788.0,4636.0,1.0
"z_innov_s[SC, 2020-05-24 00:00:00]",0.167,0.929,-1.623,1.834,0.009,0.013,11173.0,4917.0,1.0
"z_innov_s[SC, 2020-05-31 00:00:00]",0.398,0.926,-1.32,2.095,0.009,0.013,9883.0,4375.0,1.0
"z_innov_s[SC, 2020-06-07 00:00:00]",0.295,0.925,-1.414,2.095,0.009,0.014,10512.0,4515.0,1.0
"z_innov_s[SC, 2020-06-14 00:00:00]",0.257,0.915,-1.422,2.008,0.009,0.014,11189.0,4389.0,1.0
"z_innov_s[SC, 2020-06-21 00:00:00]",0.159,0.928,-1.693,1.801,0.009,0.014,10470.0,4143.0,1.0
"z_innov_s[SC, 2020-06-28 00:00:00]",-0.202,0.918,-2.056,1.408,0.009,0.013,10266.0,4575.0,1.0
"z_innov_s[SC, 2020-07-05 00:00:00]",-0.288,0.907,-2.033,1.362,0.008,0.013,12594.0,4747.0,1.0
