parameter,r_hat,ess_bulk
z_innov_s|AL|2016-09-18 00:00:00,1.0289625955158477,174.01147978197332
z_innov_s|AL|2016-09-25 00:00:00,1.0198236084396597,186.05964743200562
z_innov_s|AL|2016-10-02 00:00:00,1.0197881359660523,236.47109496428774
z_innov_s|AL|2016-10-09 00:00:00,1.0039174045986397,284.10390201212863
z_innov_s|AL|2016-10-16 00:00:00,1.0165400786048346,143.25401762332106
z_innov_s|AL|2016-10-23 00:00:00,1.0201461463984853,134.51111083679868
z_innov_s|AL|2016-10-30 00:00:00,1.0178161381792508,149.3961539688441
z_innov_s|AL|2016-11-06 00:00:00,1.0117514139969728,129.82458551677132
z_innov_s|AL|2016-11-13 00:00:00,1.021892950548375,104.59339071805091
z_innov_s|AL|2016-11-20 00:00:00,1.023636777431799,129.9401243180484
z_innov_s|AL|2016-11-27 00:00:00,1.0569911030978072,50.23377072740057
z_innov_s|AL|2016-12-04 00:00:00,1.0137616560449938,106.14922028450927
z_innov_s|AL|2016-12-11 00:00:00,1.011679678614034,162.23677858201583
z_innov_s|AL|2016-12-18 00:00:00,1.0065629565033714,158.44301117664506
