parameter,r_hat,ess_bulk
alpha_raw|Ribeira do Pombal,1.0063874594465891,384.6799277725687
alpha_raw|Ribeirão Preto,1.0014718007540582,1180.1960727114265
alpha_raw|Ribeirão das Neves,1.0013429907910836,1020.1633107720193
alpha_raw|Rio de Janeiro,1.0128733178720992,592.0699434805921
alpha_raw|Russas,1.009973020801288,457.4017237074737
alpha_raw|Salgueiro,1.0031745807807064,733.3951774135205
alpha_raw|Salvador,1.0026934473967632,615.3636223505694
alpha_raw|Santa Cruz,1.001427355012651,1689.3825749384835
alpha_raw|Santa Cruz do Capibaribe,1.0044873744182998,716.111026372874
alpha_raw|Santarém,1.0006835166726407,1984.7884062411613
alpha_raw|Santo Antônio de Jesus,1.0077000723543443,380.7839594216886
alpha_raw|Santo Antônio de Pádua,1.0094427284231529,637.3472111647778
alpha_raw|Santos,1.0005385680208694,1193.4282751803428
alpha_raw|Saquarema,1.0106467336962124,580.0155250314436
alpha_raw|Seabra,1.007748995332294,389.0172006624919
alpha_raw|Simão Dias,1.0019050171455302,2064.499035071973
alpha_raw|Simões Filho,1.0067472705717853,358.47334944698696
alpha_raw|Sobral,1.00816476735569,498.0104715674598
alpha_raw|Sorocaba,1.0016711553614197,1170.4473468190918
alpha_raw|São Carlos,1.0021347782366183,1134.6096992114892
alpha_raw|São Cristóvão,1.0025195893037884,2120.0857560902755
alpha_raw|São Desidério,1.0079977568031675,368.3702143667714
alpha_raw|São Francisco do Conde,1.0051391830685563,407.12095380466866
alpha_raw|São Gonçalo,1.0141028866431108,529.1824585728406
alpha_raw|São José do Rio Preto,1.0009513104225207,1250.039323008026
alpha_raw|São José dos Campos,1.0017488084221156,1173.1685747398658
alpha_raw|São João de Meriti,1.009810275745509,599.2851825498728
alpha_raw|São Luís,1.0009922255212906,3876.299809808468
alpha_raw|São Paulo,1.0006288027903494,1168.328306201083
alpha_raw|Teixeira de Freitas,1.00240666699599,612.6592696395663
alpha_raw|Teresina,1.000870529558479,4347.322129448249
alpha_raw|Teófilo Otoni,1.0014690209051385,1008.1029239235512
alpha_raw|Três Lagoas,1.000574249842507,2455.9580046002798
alpha_raw|Uberaba,1.0016568175104024,877.9577039852967
alpha_raw|Uberlândia,1.001168612056179,968.6249957350103
alpha_raw|Ubá,1.0013539738908714,1034.4699774172234
alpha_raw|Uibaí,1.0067171369773842,421.1443246911531
alpha_raw|Valente,1.007015245805217,385.78315767653646
alpha_raw|Vilhena,1.0026757755182627,3463.6477831240463
alpha_raw|Vitória,1.0008288901122273,6843.928105991152
alpha_raw|Vitória da Conquista,1.0050684219950017,490.23217817515746
alpha_raw|Volta Redonda,1.0083264648136485,656.1830517282938
beta|humidity,1.0011702562373797,6641.601075215676
beta|month_cos,1.0019814964826612,6549.630226022728
beta|month_sin,1.0008334899233455,6369.216558668167
beta|rainfall,1.000573521745101,7117.973742128829
beta|temperature,1.000296098300336,8250.958761733573
mu_alpha,1.0013604612782148,999.7517505309125
rho,1.000458248356173,2102.600698305473
sigma_alpha,1.002797206211349,736.0979749704006
sigma_z_state,1.0019130122161106,2849.3456652445734
u_init_s|AL,1.0012305695355377,10516.641581750351
u_init_s|AM,1.0011345295441274,11588.213012627351
u_init_s|BA,1.0023443312426972,1119.0293114630103
u_init_s|CE,1.000825476953165,5067.844450952463
u_init_s|DF,1.0023578205196348,10851.50773300879
u_init_s|ES,1.0002570704744795,10125.639438455948
u_init_s|GO,1.0003022757493063,10906.4900878548
u_init_s|MA,1.000368973364914,10373.119352749527
u_init_s|MG,0.9999084218143948,5104.806589664002
u_init_s|MS,1.000725232475821,6561.264806272161
u_init_s|MT,1.000935132592142,9574.016217799219
u_init_s|PA,1.0020842543574322,6778.662272052369
u_init_s|PB,1.0008381072799037,8798.034558962994
u_init_s|PE,1.0010665640825862,3432.08893842245
u_init_s|PI,1.0010961749944345,9076.453452102784
u_init_s|PR,1.0005802523181542,11337.130154158443
u_init_s|RJ,1.0015885063787042,4679.3808576289475
u_init_s|RN,1.0003273712594194,4817.9614732728805
u_init_s|RO,1.0012780201288456,7908.518818739168
u_init_s|RR,1.000226908837133,12104.965356052293
u_init_s|SC,1.0015705284062697,10153.74471088899
u_init_s|SE,1.0000328437554684,6476.3261720358005
u_init_s|SP,1.0007075390959155,3873.228397474236
u_init_s|TO,1.0004690352979582,8552.490040464156
z_innov_s|AL|2015-01-11 00:00:00,1.000898250200703,10321.696667461909
z_innov_s|AL|2015-01-18 00:00:00,1.0020560737864734,11341.417237289284
z_innov_s|AL|2015-01-25 00:00:00,1.0006566004067634,12234.961349675987
z_innov_s|AL|2015-02-01 00:00:00,1.0024119962446603,11668.073383014505
z_innov_s|AL|2015-02-08 00:00:00,1.0009307061153054,11171.098887312228
z_innov_s|AL|2015-02-15 00:00:00,1.0017469458495252,13022.906077851105
z_innov_s|AL|2015-02-22 00:00:00,1.0007482245331858,11315.876305906462
z_innov_s|AL|2015-03-01 00:00:00,0.9999188631335154,10306.683669607864
z_innov_s|AL|2015-03-08 00:00:00,1.0008484999683764,11893.093785642455
z_innov_s|AL|2015-03-15 00:00:00,0.999887837754799,13206.985359471319
z_innov_s|AL|2015-03-22 00:00:00,1.000182591032402,11923.580424588694
z_innov_s|AL|2015-03-29 00:00:00,1.0020032678752884,13062.83031175017
z_innov_s|AL|2015-04-05 00:00:00,0.9997284697845037,10069.088518363487
z_innov_s|AL|2015-04-12 00:00:00,0.9997650606034484,12199.518549941542
z_innov_s|AL|2015-04-19 00:00:00,1.0005544520303133,12248.61663286812
z_innov_s|AL|2015-04-26 00:00:00,1.0006182430130452,12113.000073701454
z_innov_s|AL|2015-05-03 00:00:00,1.0018529398040783,10683.222677619073
